"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:汪顺","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:陈艾森","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:樊振东","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:Tom Daley","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:苏炳添","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:马龙","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:郑思维","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:杨健","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:吕小军","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:刘浩 /郑鹏飞","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:安昌林","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:谢震业","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:刘洋","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:徐嘉余","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:杨皓然","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:Micah Christenson","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:邓志伟","1.男同志奥运梦中情人评选（随机排序，每人最多选5人）:盛李豪","2.您的角色认同是","3.您是否认同自己是“熊”族",
"397","22-Aug-2021 11:41:31","22-Aug-2021 11:42:57","86","加拿大","位置未知","","","","B.陈艾森","","","","","","H.杨健","I.吕小军","J.刘浩 /郑鹏飞","K.安昌林","","","","","","","","D.Vers Bottom","B.不是",
"396","21-Aug-2021 09:15:27","21-Aug-2021 09:15:42","15","中国","广东省","汕头市","","","","","","","F.马龙","","","","","","","","","","","","","F.我不认同角色划分","B.不是",
"395","18-Aug-2021 13:03:20","18-Aug-2021 13:05:13","113","马来西亚","位置未知","","","","","","D.Tom Daley","","","","","I.吕小军","","K.安昌林","","M.刘洋","","","","Q.邓志伟","","B.Vers Top","B.不是",
"394","18-Aug-2021 11:46:07","18-Aug-2021 11:46:50","43","马来西亚","位置未知","","","A.汪顺","","","D.Tom Daley","","F.马龙","","","","","","","","","","","","","A.Top","B.不是",
"393","18-Aug-2021 10:31:04","18-Aug-2021 10:31:46","42","马来西亚","位置未知","","","","","C.樊振东","","E.苏炳添","","G.郑思维","","","J.刘浩 /郑鹏飞","","","","","","P.Micah Christenson","","","E.Bottom","B.不是",
"392","18-Aug-2021 08:53:25","18-Aug-2021 08:53:55","30","马来西亚","位置未知","","","","","","","","","G.郑思维","","","J.刘浩 /郑鹏飞","","","M.刘洋","N.徐嘉余","","P.Micah Christenson","","","E.Bottom","A.是",
"391","18-Aug-2021 07:11:35","18-Aug-2021 07:13:15","100","中国","香港","","","","","","D.Tom Daley","","","","","I.吕小军","J.刘浩 /郑鹏飞","","","","","","","","","F.我不认同角色划分","B.不是",
"390","18-Aug-2021 07:06:12","18-Aug-2021 07:07:12","60","新加坡","位置未知","","","A.汪顺","B.陈艾森","","D.Tom Daley","","F.马龙","G.郑思维","","","","","","","","","","","","B.Vers Top","B.不是",
"389","18-Aug-2021 02:15:02","18-Aug-2021 02:15:31","29","马来西亚","位置未知","","","","","","D.Tom Daley","","","","","","J.刘浩 /郑鹏飞","","","","","","","","","C.Vers","B.不是",
"388","18-Aug-2021 01:20:16","18-Aug-2021 01:20:49","33","中国","台湾","","","","","","","","","","","","","K.安昌林","","","","","","","","A.Top","B.不是",
